y,x,I0,bg,y_err,x_err,I0_err,bg_err,H_det,error_flag,snr,rmse,n_iter,y_detect,x_detect,frame,loc_idx,trajectory,subproblem_n_traj,subproblem_n_locs
19.982491757867496,1282.6360435470615,516.6677255522528,126.39228279344503,0.152531104298302,0.1524222113764255,27.86104754756757,1.651252467011213,1.094645113192675,0.0,26.282501918207704,14.556009600056347,10.0,20.0,1283.0,0,0,92,0,1
22.39965123809791,2013.0643160468355,536.9129039126351,134.72420427239075,0.1575809336415678,0.1576986193418179,28.275585149176266,1.7661289680976888,1.480236143163682,0.0,32.595299685589644,15.60690747222219,10.0,22.0,2013.0,0,1,0,0,1
23.81359443128043,1220.513453725339,378.8339512891308,122.10223852587536,0.1474119845226519,0.1473224226997991,25.32523112165253,1.2015664127536554,0.4072347379172081,0.0,35.23915850161547,10.449665664006467,10.0,24.0,1221.0,0,2,1,0,1
45.54683662091456,1208.4585212938268,550.6760909507807,118.3620974034801,0.1044472546416424,0.1044468775463506,25.604664171929716,1.2379253418451854,0.1117940116942224,0.0,130.84370698133975,10.78081427257156,10.0,46.0,1208.0,0,3,2,0,1
59.57095213498204,1507.587753361143,760.8335252614669,125.40083488276628,0.1267866005736625,0.1267895251299765,28.97079738249748,2.012582444425067,0.8509747274314028,0.0,64.64733548181327,17.8622979528974,10.0,60.0,1508.0,0,4,479,0,1
187.29305187028288,862.660639742063,1699.2894023172971,116.63326079329696,0.0953988993745755,0.0953908529979825,30.60793446222199,3.3495549816727013,0.8596139262549453,0.0,606.9379848281092,30.125170017279032,10.0,187.0,863.0,0,5,3,0,1
200.2410707387931,909.4581373191396,585.6708169771707,124.08670110643492,0.1245066757990643,0.1244512030080724,27.443359492060303,1.552141610689163,0.414972773373932,0.0,98.24847683608088,13.649671600348816,10.0,200.0,909.0,0,6,387,0,1
212.8746909506094,2175.0114846495926,3284.708108621612,91.58136787398828,0.1311221651396742,0.1311376398081908,31.468444090146846,8.502181068295823,21.12695302168484,0.0,1294.4579437698849,79.36791745489319,10.0,213.0,2175.0,0,7,4,0,1
235.30343384839531,1919.778807374661,919.8133880097688,114.75303422722052,0.1121757783909548,0.1121915863642363,29.343572347953508,2.186896400341113,0.6344997515978024,0.0,179.67730603997722,19.45801394540557,10.0,235.0,1920.0,0,8,5,0,1
833.1370068086202,687.559531696971,689.7597834118683,128.71493716155405,0.1175831834498539,0.11750271447862,28.036473900758576,1.697558215629751,0.4145203828574705,0.0,48.51392732266351,14.9795809428111,10.0,833.0,688.0,0,9,282,0,1
835.2595749302916,1426.7765964309426,1051.1835613803444,130.77071254833615,0.0857385409152847,0.0857470936905171,28.635765094133543,1.883637419948042,0.1517533416789729,0.0,96.98563847957516,16.68215439511354,10.0,835.0,1427.0,0,10,219,0,1
841.6804443672261,1029.4881825183195,797.7192614468229,126.04561322130746,0.1036218903868506,0.1035958941981225,28.19054644829897,1.7409183496189191,0.2665297382023149,0.0,102.102916855112,15.376259581678315,10.0,842.0,1029.0,0,11,334,0,1
855.4160958799619,854.6664737865526,696.6700322525669,132.83110862947748,0.1121804080778135,0.1121990489168942,27.81587275137851,1.6397492440959731,0.3151942865443841,0.0,68.17954830520479,14.450800418914213,10.0,855.0,855.0,0,12,93,0,1
858.4488614284426,1133.3274856407502,1404.6143767916462,117.553333752501,0.1198195331532392,0.1198430658823943,30.6825720934797,3.483433576950316,2.3282945585348784,0.0,319.6927341267607,31.35807824178965,10.0,858.0,1133.0,0,13,283,0,1
876.2340879861763,1056.0841137910757,652.5732893237038,128.98384688330682,0.1002949835896063,0.1003286088154661,26.543768283870676,1.379069795493319,0.1280435229627823,0.0,96.1468076028732,12.068264889636652,10.0,876.0,1056.0,0,14,6,0,1
877.8114631964731,62.435613918913305,354.04460233734994,119.2714945877531,0.1462533977854042,0.146171149517993,24.46247216111005,1.1013418350171214,0.3068401291997748,0.0,38.28573168052053,9.538374864146023,10.0,878.0,62.0,0,15,7,0,1
886.9337172196207,1465.247363680949,428.21596151047504,123.30332366574726,0.1634026130872415,0.1633443986550571,27.027482635265663,1.466370134250155,1.0612847735353372,0.0,37.07727815308286,12.8656855320649,10.0,887.0,1465.0,0,16,8,0,1
933.9845463399204,1033.974694836102,734.9894930840178,128.36248695317357,0.1170587141603431,0.1170585266761081,28.349896230991504,1.78893439670184,0.4645814422240426,0.0,57.007859936796365,15.815564229581096,10.0,934.0,1034.0,0,17,220,0,1
964.5488699993668,751.8415908079076,1295.629158954281,122.5162886064767,0.102906839953762,0.1029744643092849,30.17057145269817,2.7811211560607347,0.7766302027950797,0.0,347.2459429869849,24.90281913030131,10.0,965.0,752.0,0,18,94,0,1
250.2972719806926,145.65574413667602,716.2735715362207,130.50618220539428,0.0995974620518368,0.0995875020615997,27.156987716490395,1.4918489279496807,0.1533593547859912,0.0,97.90461515630294,13.098525483502538,10.0,250.0,146.0,0,19,221,0,1
251.2315400823713,383.1122100159124,401.34283768244165,123.26001422044388,0.1441380422798176,0.1441725707825915,25.59601426112737,1.2368414850442262,0.4046382641561086,0.0,44.53684311535071,10.7709292021716,10.0,251.0,383.0,0,20,9,0,1
252.6376129277696,342.78857743682886,1384.1031340218235,128.09118791634384,0.054685983583094,0.05470719125209,27.58361876113287,1.5838231608432152,0.0162968042000655,0.0,414.0732727960966,13.939343630376472,10.0,253.0,343.0,0,21,222,0,1
252.9633515631,1876.2977293628967,858.4615890308003,125.09420061916468,0.0866093129127813,0.0865615731405043,27.46969744101453,1.5580276549837808,0.0980975830715327,0.0,96.61690551675844,13.70348072424998,10.0,253.0,1876.0,0,22,162,0,1
261.8932039682794,1797.1399688407434,647.6332495590278,126.87344206048412,0.1373646693343516,0.1373555960503801,28.515215761837325,1.84221490317932,0.9467351008185784,0.0,60.499542055017336,16.303095006127215,10.0,262.0,1797.0,0,23,10,0,1
295.58182011931774,1854.10200245374,422.3029657717949,122.3149820561874,0.1510766266639167,0.1511882415245147,26.464259202580035,1.3657726416712357,0.6427007701086622,0.0,31.39038925196757,11.946871060605412,10.0,296.0,1854.0,0,24,11,0,1
319.6735668949805,2113.8996966637446,1158.3753144242232,128.4908600786656,0.0607909366839597,0.0608243651019111,27.0525489563671,1.4712155450367146,0.0205457258187584,0.0,212.2616354779428,12.909962835108209,10.0,320.0,2114.0,0,25,95,0,1
327.2124989950191,811.5180715692035,1606.769633656645,117.11604393838088,0.1061667402581339,0.1061135621344622,30.7011406380402,3.5192536926532507,1.4648271441143017,0.0,511.0025178902727,31.68817240425037,10.0,327.0,811.0,0,26,96,0,1
694.3811215537407,839.5893398141501,595.5092746373083,132.13741433351169,0.1438058204583663,0.143798860899056,28.33490879172092,1.7841578665073825,1.0511341193431605,0.0,98.2096472805265,15.771888209212484,10.0,695.0,840.0,0,27,12,0,1
